id,protocol,num_bits,bit_error_rate,eve_success_rate_estimate,noise_level,attack_type
1,B92,256,0.266353,0.496094,0.015625,IRA
2,B92,2048,0.276709,0.513672,0.0302734,IRA
3,B92,256,0.301263,0.460938,0.0507812,IRA
4,B92,2048,0.290154,0.480469,0.0341797,IRA
5,B92,128,0.32587,0.476562,0.078125,IRA
6,B92,1024,0.308459,0.508789,0.0634766,IRA
7,B92,64,0.266,0.5625,0.03125,IRA
8,B92,1024,0.257894,0.504883,0.00683594,IRA
9,B92,1024,0.287631,0.494141,0.0244141,IRA
10,B92,64,0.249954,0.515625,0,IRA
11,B92,128,0.30262,0.507812,0.03125,IRA
12,B92,256,0.337402,0.46875,0.0664062,IRA
13,B92,2048,0.300054,0.493652,0.0566406,IRA
14,B92,256,0.269582,0.566406,0.0429688,IRA
15,B92,4096,0.263921,0.49585,0.0131836,IRA
16,B92,256,0.301682,0.5,0.0546875,IRA
17,B92,64,0.264874,0.625,0.0625,IRA
18,B92,4096,0.317598,0.49292,0.0710449,IRA
19,B92,4096,0.279697,0.497803,0.0300293,IRA
20,B92,1024,0.276409,0.499023,0.0224609,IRA
21,B92,512,0.302071,0.478516,0.046875,IRA
22,B92,1024,0.326856,0.474609,0.0605469,IRA
23,B92,4096,0.295362,0.509521,0.050293,IRA
24,B92,64,0.299781,0.5,0.015625,IRA
25,B92,512,0.278023,0.503906,0.0234375,IRA
26,B92,1024,0.269045,0.521484,0.03125,IRA
27,B92,256,0.349738,0.425781,0.0625,IRA
28,B92,4096,0.304055,0.493164,0.048584,IRA
29,B92,64,0.229172,0.5625,0,IRA
30,B92,128,0.317914,0.484375,0.046875,IRA
31,B92,64,0.299143,0.546875,0.109375,IRA
32,B92,1024,0.269227,0.478516,0.0107422,IRA
33,B92,64,0.306396,0.53125,0.0625,IRA
34,B92,2048,0.289851,0.477051,0.0302734,IRA
35,B92,512,0.311894,0.517578,0.0664062,IRA
36,B92,128,0.31618,0.46875,0.03125,IRA
37,B92,4096,0.294508,0.512207,0.0551758,IRA
38,B92,512,0.304692,0.505859,0.0566406,IRA
39,B92,2048,0.308942,0.507324,0.0571289,IRA
40,B92,2048,0.310503,0.485352,0.0532227,IRA
41,B92,128,0.273114,0.5,0.015625,IRA
42,B92,128,0.215369,0.585938,0.0234375,IRA
43,B92,2048,0.294704,0.508301,0.0483398,IRA
44,B92,1024,0.316378,0.503906,0.0732422,IRA
45,B92,1024,0.267439,0.5,0.0175781,IRA
46,B92,512,0.262262,0.517578,0.0234375,IRA
47,B92,1024,0.265355,0.486328,0.0126953,IRA
48,B92,64,0.252162,0.578125,0.046875,IRA
49,B92,512,0.233889,0.552734,0.015625,IRA
50,B92,2048,0.294503,0.5,0.0444336,IRA
51,B92,512,0.296616,0.46875,0.0332031,IRA
52,B92,1024,0.313576,0.50293,0.0703125,IRA
53,B92,64,0.300872,0.515625,0.125,IRA
54,B92,128,0.265303,0.484375,0.015625,IRA
55,B92,256,0.246563,0.523438,0.00390625,IRA
56,B92,2048,0.315172,0.494141,0.0585938,IRA
57,B92,64,0.327146,0.46875,0.0625,IRA
58,B92,1024,0.290285,0.533203,0.0556641,IRA
59,B92,512,0.308571,0.527344,0.0839844,IRA
60,B92,128,0.276957,0.554688,0.078125,IRA
61,B92,128,0.317878,0.4375,0.0390625,IRA
62,B92,1024,0.318519,0.474609,0.0498047,IRA
63,B92,128,0.33608,0.414062,0.078125,IRA
64,B92,2048,0.284601,0.488281,0.0307617,IRA
65,B92,4096,0.292641,0.491699,0.0385742,IRA
66,B92,64,0.291683,0.5,0.03125,IRA
67,B92,4096,0.262764,0.493652,0.0109863,IRA
68,B92,256,0.320319,0.507812,0.09375,IRA
69,B92,1024,0.310385,0.493164,0.0771484,IRA
70,B92,2048,0.277134,0.492188,0.019043,IRA
71,B92,256,0.325206,0.472656,0.0625,IRA
72,B92,256,0.27518,0.519531,0.0546875,IRA
73,B92,512,0.258341,0.509766,0.0078125,IRA
74,B92,256,0.281438,0.480469,0.0117188,IRA
75,B92,512,0.316318,0.494141,0.0820312,IRA
76,B92,64,0.289051,0.46875,0,IRA
77,B92,512,0.265625,0.519531,0.0234375,IRA
